Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
VIR,Vir Biotechnology Inc. Common Stock,$10.05,0.74,7.948%,1402,United States,2019.0,2698070,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GLUE,Monte Rosa Therapeutics Inc. Common Stock,$17.50,-0.05,-0.285%,1400,United States,2021.0,754865,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATAI,AtaiBeckley Inc. Common Stock,$3.85,0.06,1.583%,1398,Germany,2008.0,3534075,Health Care,Biotechnology: Pharmaceutical Preparations
WVE,Wave Life Sciences Ltd. Ordinary Shares,$7.39,0.13,1.791%,1391,Singapore,2015.0,6256830,Health Care,Biotechnology: Pharmaceutical Preparations
MAZE,Maze Therapeutics Inc. Common Stock,$27.68,0.26,0.948%,1375,United States,2025.0,2455045,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NVAX,Novavax Inc. Common Stock,$8.39,0.28,3.453%,1367,United States,,3296052,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MLTX,MoonLake Immunotherapeutics Class A Ordinary Shares,$18.78,0.35,1.899%,1356,United States,2020.0,1079453,Health Care,Biotechnology: Pharmaceutical Preparations
TSHA,Taysha Gene Therapies Inc. Common Stock,$4.71,0.29,6.561%,1353,United States,2020.0,2037005,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DBVT,DBV Technologies S.A. American Depositary Shares,$21.64,-0.5,-2.258%,1281,France,2014.0,311455,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRVS,Corvus Pharmaceuticals Inc. Common Stock,$15.25,0.08,0.527%,1280,United States,2016.0,1212933,Health Care,Biotechnology: Pharmaceutical Preparations
PHAR,Pharming Group N.V. ADS each representing 10 ordinary shares,$17.68,0.72,4.245%,1248,Netherlands,,22234,Health Care,Biotechnology: Pharmaceutical Preparations
SVRA,Savara Inc. Common Stock,$6.07,0.15,2.534%,1243,United States,,1266164,Health Care,Biotechnology: Pharmaceutical Preparations
ZBIO,Zenas BioPharma Inc. Common Stock,$21.34,0.3,1.426%,1224,United States,2024.0,696929,Health Care,Biotechnology: Pharmaceutical Preparations
AVBP,ArriVent BioPharma Inc. Common Stock,$27.64,0.85,3.173%,1221,United States,2024.0,335302,Health Care,Biotechnology: Pharmaceutical Preparations
INBX,Inhibrx Biosciences Inc. Common Stock,$83.19,5.73,7.397%,1215,United States,,200484,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
QDEL,QuidelOrtho Corporation Common Stock,$17.32,1.24,7.711%,1179,United States,,1690024,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
COLL,Collegium Pharmaceutical Inc. Common Stock,$35.64,0.02,0.056%,1154,United States,2015.0,512312,Health Care,Biotechnology: Pharmaceutical Preparations
MPLT,MapLight Therapeutics Inc. Common Stock,$27.02,0.71,2.699%,1146,United States,2025.0,164187,Health Care,Biotechnology: Pharmaceutical Preparations
IVA,Inventiva S.A. American Depository Shares,$5.51,0.5,9.98%,1144,France,2020.0,1769497,Health Care,Biotechnology: Pharmaceutical Preparations
GERN,Geron Corporation Common Stock,$1.77,0.04,2.312%,1134,United States,1996.0,17815982,Health Care,Biotechnology: Pharmaceutical Preparations
ABCL,AbCellera Biologics Inc. Common Shares,$3.76,0.1,2.732%,1107,Canada,2020.0,3169386,Health Care,Biotechnology: Pharmaceutical Preparations
ALVO,Alvotech Ordinary Shares,$3.53,-0.18,-4.852%,1101,Luxembourg,,274855,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SEPN,Septerna Inc. Common Stock,$24.13,0.79,3.385%,1083,United States,2024.0,213443,Health Care,Biotechnology: Pharmaceutical Preparations
RVMDW,Revolution Medicines Inc. Warrant,$5.42,1.01,22.902%,1074,United States,,1797315,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
QURE,uniQure N.V. Ordinary Shares,$17.09,-0.83,-4.632%,1068,Netherlands,2014.0,1218026,Health Care,Biotechnology: Pharmaceutical Preparations
ORIC,Oric Pharmaceuticals Inc. Common Stock,$10.53,0.13,1.25%,1056,United States,2020.0,1014502,Health Care,Biotechnology: Pharmaceutical Preparations
XERS,Xeris Biopharma Holdings Inc. Common Stock,$6.07,0.1,1.675%,1046,United States,2018.0,1140113,Health Care,Biotechnology: Pharmaceutical Preparations
GHRS,GH Research PLC Ordinary Shares,$16.77,0.43,2.632%,1040,Ireland,2021.0,83252,Health Care,Biotechnology: Pharmaceutical Preparations
URGN,UroGen Pharma Ltd. Ordinary Shares,$21.22,0.94,4.635%,1033,Israel,2017.0,617194,Health Care,Biotechnology: Pharmaceutical Preparations
OCSAW,Oculis Holding AG Warrants,$17.825,1.65,10.201%,1033,Switzerland,,1543,Health Care,Biotechnology: Pharmaceutical Preparations
KALV,KalVista Pharmaceuticals Inc. Common Stock,$20.29,0.7,3.573%,1025,United Kingdom,2015.0,1458700,Health Care,Biotechnology: Pharmaceutical Preparations
PHAT,Phathom Pharmaceuticals Inc. Common Stock,$12.67,0.0,0.00%,1006,United States,2019.0,1043510,Health Care,Biotechnology: Pharmaceutical Preparations
AKTS,Aktis Oncology Inc. Common stock,$17.84,0.5,2.884%,986,United States,2026.0,213280,Health Care,Biotechnology: Pharmaceutical Preparations
CMPX,Compass Therapeutics Inc. Common Stock,$5.44,0.24,4.615%,979,United States,,3542462,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,$21.38,0.02,0.094%,970,United States,2014.0,343462,Health Care,Biotechnology: Pharmaceutical Preparations
PCRX,Pacira BioSciences Inc. Common Stock,$23.75,-0.31,-1.288%,961,United States,2011.0,307073,Health Care,Biotechnology: Pharmaceutical Preparations
EVMN,Evommune Inc. Common Stock,$26.63,-0.38,-1.407%,959,United States,2025.0,303093,Health Care,Biotechnology: Pharmaceutical Preparations
JBIO,Jade Biosciences Inc. Common Stock,$19.44,0.95,5.138%,958,United States,2021.0,782278,Health Care,Biotechnology: Pharmaceutical Preparations
ANNX,Annexon Inc. Common Stock,$5.80,-0.01,-0.172%,930,United States,2020.0,2145385,Health Care,Biotechnology: Pharmaceutical Preparations
SANA,Sana Biotechnology Inc. Common Stock,$3.48,0.27,8.411%,928,United States,2021.0,16399187,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
JANX,Janux Therapeutics Inc. Common Stock,$15.24,0.34,2.282%,927,United States,2021.0,757580,Health Care,Biotechnology: Pharmaceutical Preparations
MGTX,MeiraGTx Holdings plc Ordinary Shares,$11.29,1.66,17.238%,919,United States,2018.0,1209012,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
XNCR,Xencor Inc. Common Stock,$12.51,0.44,3.645%,917,United States,2013.0,806997,Health Care,Biotechnology: Pharmaceutical Preparations
ANRO,Alto Neuroscience Inc. Common Stock,$25.82,0.07,0.272%,905,United States,2024.0,534316,Health Care,Biotechnology: Pharmaceutical Preparations
OPK,OPKO Health Inc. Common Stock,$1.17,0.0,0.00%,888,United States,,1593532,Health Care,Biotechnology: Pharmaceutical Preparations
SDGR,Schrodinger Inc. Common Stock,$11.91,0.46,4.017%,879,United States,2020.0,1598770,Health Care,Biotechnology: Pharmaceutical Preparations
DRUG,Bright Minds Biosciences Inc. Common Stock,$89.14,3.96,4.649%,872,Canada,,99095,Health Care,Biotechnology: Pharmaceutical Preparations
SLS,SELLAS Life Sciences Group Inc. Common Stock,$4.86,0.1,2.101%,872,United States,,3349569,Health Care,Biotechnology: Pharmaceutical Preparations
CGEM,Cullinan Therapeutics Inc. Common Stock,$14.35,0.1,0.702%,868,United States,2021.0,889613,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TBPH,Theravance Biopharma Inc. Ordinary Shares,$16.60,0.1,0.606%,854,Cayman Islands,,489456,Health Care,Biotechnology: Pharmaceutical Preparations
TRAXV,First Tracks Biotherapeutics Inc. Ordinary Shares When-Issued,$24.55,0.8,3.368%,853,United States,,3003,Health Care,Biotechnology: Pharmaceutical Preparations
OMER,Omeros Corporation Common Stock,$11.84,0.46,4.042%,852,United States,2009.0,775000,Health Care,Biotechnology: Pharmaceutical Preparations
ABUS,Arbutus Biopharma Corporation Common Stock,$4.35,-0.02,-0.458%,850,Canada,,1360387,Health Care,Biotechnology: Pharmaceutical Preparations
MNKD,MannKind Corporation Common Stock,$2.74,0.1,3.788%,846,United States,2004.0,3596844,Health Care,Biotechnology: Pharmaceutical Preparations
MRVI,Maravai LifeSciences Holdings Inc. Class A Common Stock,$3.28,0.22,7.19%,843,United States,2020.0,3588348,Health Care,Biotechnology: Pharmaceutical Preparations
ANL,Adlai Nortye Ltd. American Depositary Shares,$15.68,3.62,30.017%,832,Cayman Islands,2023.0,1084915,Health Care,Biotechnology: Pharmaceutical Preparations
KURA,Kura Oncology Inc. Common Stock,$9.14,0.42,4.817%,811,United States,,1703744,Health Care,Biotechnology: Pharmaceutical Preparations
SLDB,Solid Biosciences Inc. Common Stock,$8.23,-0.16,-1.907%,809,United States,2018.0,1588456,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SPRY,ARS Pharmaceuticals Inc. Common Stock,$8.14,0.14,1.75%,808,United States,2020.0,836218,Health Care,Biotechnology: Pharmaceutical Preparations
DSGN,Design Therapeutics Inc. Common Stock,$12.64,0.29,2.348%,779,United States,2021.0,311405,Health Care,Biotechnology: Pharmaceutical Preparations
VOR,Vor Biopharma Inc. Common Stock,$15.87,-0.1,-0.626%,775,United States,2021.0,1165694,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CTMX,CytomX Therapeutics Inc. Common Stock,$4.54,0.15,3.417%,772,United States,2015.0,7157911,Health Care,Biotechnology: Pharmaceutical Preparations
LBRX,LB Pharmaceuticals Inc Common Stock,$26.57,1.14,4.483%,761,United States,2025.0,302326,Health Care,Biotechnology: Pharmaceutical Preparations
GYRE,Gyre Therapeutics Inc. Common Stock,$7.84,0.15,1.951%,760,United States,2006.0,36495,Health Care,Biotechnology: Pharmaceutical Preparations
RLMD,Relmada Therapeutics Inc. Common Stock,$7.19,-0.19,-2.575%,754,United States,,1427640,Health Care,Biotechnology: Pharmaceutical Preparations
LXRX,Lexicon Pharmaceuticals Inc. Common Stock,$1.75,0.04,2.339%,741,United States,,1256515,Health Care,Biotechnology: Pharmaceutical Preparations
CMPS,COMPASS Pathways Plc American Depository Shares,$5.75,-0.02,-0.347%,741,United Kingdom,2020.0,1771417,Health Care,Biotechnology: Pharmaceutical Preparations
ETON,Eton Pharmaceuticals Inc. Common Stock,$27.12,1.07,4.107%,739,United States,2018.0,269125,Health Care,Biotechnology: Pharmaceutical Preparations
BIOA,BioAge Labs Inc. Common Stock,$16.57,0.38,2.347%,735,United States,2024.0,325887,Health Care,Biotechnology: Pharmaceutical Preparations
BBOT,BridgeBio Oncology Therapeutics Inc. Common Stock  ,$9.18,0.23,2.57%,734,United States,2024.0,582910,Health Care,Biotechnology: Pharmaceutical Preparations
ARVN,Arvinas Inc. Common Stock,$11.00,0.42,3.97%,703,United States,2018.0,841380,Health Care,Biotechnology: Pharmaceutical Preparations
PRME,Prime Medicine Inc. Common Stock,$3.70,0.04,1.093%,668,United States,2022.0,2442954,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IRWD,Ironwood Pharmaceuticals Inc. Class A Common Stock,$4.04,0.39,10.685%,658,United States,2010.0,3606806,Health Care,Biotechnology: Pharmaceutical Preparations
OCGN,Ocugen Inc. Common Stock,$1.80,0.01,0.559%,590,United States,2014.0,4551950,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MDXG,MiMedx Group Inc Common Stock,$3.92,0.0,0.00%,582,United States,,1200118,Health Care,Biotechnology: Pharmaceutical Preparations
RIGL,Rigel Pharmaceuticals Inc. Common Stock,$31.39,1.42,4.738%,580,United States,2000.0,413818,Health Care,Biotechnology: Pharmaceutical Preparations
CRMD,CorMedix Inc. Common Stock,$7.30,-0.02,-0.273%,577,United States,,1163953,Health Care,Biotechnology: Pharmaceutical Preparations
PROK,ProKidney Corp. Class A Ordinary Shares,$1.91,-0.04,-2.051%,576,United States,2021.0,1614590,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ZVRA,Zevra Therapeutics Inc. Common Stock,$9.79,0.07,0.72%,574,United States,,597999,Health Care,Biotechnology: Pharmaceutical Preparations
EIKN,Eikon Therapeutics Inc. Common Stock,$10.61,0.74,7.497%,574,United States,2026.0,440827,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PRTA,Prothena Corporation plc Ordinary Shares,$10.61,0.3,2.91%,571,United States,,370970,Health Care,Biotechnology: Pharmaceutical Preparations
KYTX,Kyverna Therapeutics Inc. Common Stock,$9.36,-0.13,-1.37%,565,United States,2024.0,536469,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
UPB,Upstream Bio Inc. Common Stock,$10.34,0.11,1.075%,562,United States,2024.0,645906,Health Care,Biotechnology: Pharmaceutical Preparations
TECX,Tectonic Therapeutic Inc. Common Stock,$29.95,-0.01,-0.033%,562,United States,2018.0,198328,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLO,Allogene Therapeutics Inc. Common Stock,$2.28,-0.78,-25.49%,555,United States,2018.0,41807135,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LYEL,Lyell Immunopharma Inc. Common Stock,$23.37,-1.43,-5.766%,545,United States,2021.0,131021,Health Care,Biotechnology: Pharmaceutical Preparations
ZURA,Zura Bio Limited Class A Ordinary Shares,$5.72,0.04,0.704%,542,Cayman Islands,,657647,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VSTM,Verastem Inc. Common Stock,$6.14,0.48,8.481%,539,United States,2012.0,3515634,Health Care,Biotechnology: Pharmaceutical Preparations
CBIO,Crescent Biopharma Inc. Common Stock,$19.52,1.53,8.505%,537,United States,2014.0,592212,Health Care,Biotechnology: Pharmaceutical Preparations
TRDA,Entrada Therapeutics Inc. Common Stock,$14.03,0.14,1.008%,537,United States,2021.0,89669,Health Care,Biotechnology: Pharmaceutical Preparations
VALN,Valneva SE American Depositary Shares,$6.09,-0.04,-0.653%,528,France,2021.0,91463,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ESPR,Esperion Therapeutics Inc. Common Stock,$2.05,-0.17,-7.658%,526,United States,2013.0,7870086,Health Care,Biotechnology: Pharmaceutical Preparations
FULC,Fulcrum Therapeutics Inc. Common Stock,$7.90,0.17,2.199%,526,United States,2019.0,1036054,Health Care,Biotechnology: Pharmaceutical Preparations
IMMX,Immix Biopharma Inc. Common Stock,$9.85,0.16,1.651%,522,United States,2021.0,520670,Health Care,Biotechnology: Pharmaceutical Preparations
STTK,Shattuck Labs Inc. Common Stock,$6.78,0.01,0.148%,512,United States,2020.0,330528,Health Care,Biotechnology: Pharmaceutical Preparations
AGMB,AgomAb Therapeutics NV American Depositary Shares,$10.47,0.05,0.48%,510,Belgium,2026.0,204107,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENGN,enGene Therapeutics Inc. Common Stock,$7.60,0.17,2.288%,509,Canada,,140830,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AQST,Aquestive Therapeutics Inc. Common Stock,$4.15,-0.04,-0.955%,506,United States,2018.0,1196540,Health Care,Biotechnology: Pharmaceutical Preparations
LRMR,Larimar Therapeutics Inc. Common Stock,$4.87,0.01,0.206%,505,United States,2014.0,1114537,Health Care,Biotechnology: Pharmaceutical Preparations
CYRX,CryoPort Inc. Common Stock,$9.95,0.31,3.216%,496,United States,,554742,Health Care,Biotechnology: Pharmaceutical Preparations
LXEO,Lexeo Therapeutics Inc. Common Stock,$6.67,0.29,4.545%,494,United States,2023.0,880366,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FDMT,4D Molecular Therapeutics Inc. Common Stock,$9.66,-0.38,-3.785%,493,United States,2020.0,1052360,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADCT,ADC Therapeutics SA Common Shares,$3.86,0.05,1.312%,490,Switzerland,2020.0,541714,Health Care,Biotechnology: Pharmaceutical Preparations
KMDA,Kamada Ltd. Ordinary Shares,$8.42,-0.02,-0.237%,485,Israel,2013.0,37079,Health Care,Biotechnology: Pharmaceutical Preparations
CTNM,Contineum Therapeutics Inc. Class A Common Stock,$12.97,0.21,1.646%,484,United States,2024.0,186828,Health Care,Biotechnology: Pharmaceutical Preparations
RGNX,REGENXBIO Inc. Common Stock,$9.30,0.26,2.876%,480,United States,2015.0,577743,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock,$7.72,1.04,15.569%,478,United States,2021.0,2014600,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
STRO,Sutro Biopharma Inc. Common Stock,$28.78,2.59,9.889%,476,United States,2018.0,509729,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACRS,Aclaris Therapeutics Inc. Common Stock,$3.92,0.02,0.513%,472,United States,2015.0,2684298,Health Care,Biotechnology: Pharmaceutical Preparations
ARMP,Armata Pharmaceuticals Inc. Common Stock,$12.88,1.19,10.18%,471,United States,,41747,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NATR,Nature's Sunshine Products Inc. Common Stock,$26.81,0.06,0.224%,469,United States,,76644,Health Care,Biotechnology: Pharmaceutical Preparations
XOMA,XOMA Royalty Corporation Common Stock,$39.41,0.76,1.966%,469,United States,1986.0,138191,Health Care,Biotechnology: Pharmaceutical Preparations
ASMB,Assembly Biosciences Inc. Common Stock,$29.44,0.2,0.684%,466,United States,2010.0,81150,Health Care,Biotechnology: Pharmaceutical Preparations
AVIR,Atea Pharmaceuticals Inc. Common Stock,$5.80,0.09,1.576%,462,United States,2020.0,238135,Health Care,Biotechnology: Pharmaceutical Preparations
MYGN,Myriad Genetics Inc. Common Stock,$4.91,0.32,6.972%,459,United States,1995.0,1027007,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
IVVD,Invivyd Inc. Common Stock,$1.61,-0.11,-6.395%,455,United States,2021.0,2499768,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BNTC,Benitec Biopharma Inc. Common Stock,$13.25,1.25,10.417%,455,United States,2015.0,136195,Health Care,Biotechnology: Pharmaceutical Preparations
AURA,Aura Biosciences Inc. Common Stock,$7.09,0.18,2.605%,454,United States,2021.0,301407,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FBRX,Forte Biosciences Inc. Common Stock,$32.42,1.82,5.948%,450,United States,2017.0,292330,Health Care,Biotechnology: Pharmaceutical Preparations
EBS,Emergent BioSolutions Inc. Common Stock,$8.66,0.42,5.097%,447,United States,2006.0,800612,Health Care,Biotechnology: Pharmaceutical Preparations
VNDA,Vanda Pharmaceuticals Inc. Common Stock,$7.32,0.16,2.235%,432,United States,2006.0,1123159,Health Care,Biotechnology: Pharmaceutical Preparations
PRTC,PureTech Health plc American Depositary Shares,$17.87,0.065,0.365%,431,United States,,7331,Health Care,Biotechnology: Pharmaceutical Preparations
FBIOP,Fortress Biotech Inc. 9.375% Series A Cumulative Redeemable Perpetual Preferred Stock,$13.37,-0.3187,-2.328%,430,United States,,13811,Health Care,Biotechnology: Pharmaceutical Preparations
ALT,Altimmune Inc. Common Stock,$3.29,0.06,1.858%,428,United States,,1990018,Health Care,Biotechnology: Pharmaceutical Preparations
IPSC,Century Therapeutics Inc. Common Stock,$2.37,0.1,4.405%,425,United States,2021.0,1857417,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENTA,Enanta Pharmaceuticals Inc. Common Stock,$14.63,0.36,2.523%,424,United States,2013.0,111176,Health Care,Biotechnology: Pharmaceutical Preparations
CLYM,Climb Bio Inc. Common Stock,$8.85,0.22,2.549%,422,United States,2021.0,433689,Health Care,Biotechnology: Pharmaceutical Preparations
AKBA,Akebia Therapeutics Inc. Common Stock,$1.56,0.09,6.122%,417,United States,2014.0,2257122,Health Care,Biotechnology: Pharmaceutical Preparations
RCKT,Rocket Pharmaceuticals Inc. Common Stock,$3.64,0.0,0.00%,397,United States,2015.0,2431204,Health Care,Biotechnology: Pharmaceutical Preparations
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.59,0.08,5.298%,396,United States,,760745,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IRD,Opus Genetics Inc. Common Stock,$5.55,-0.02,-0.359%,394,United States,,397837,Health Care,Biotechnology: Pharmaceutical Preparations
AUTL,Autolus Therapeutics plc American Depositary Share,$1.48,0.01,0.68%,393,United Kingdom,2018.0,1523024,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
OVID,Ovid Therapeutics Inc. Common Stock,$2.96,0.17,6.093%,390,United States,2017.0,4973253,Health Care,Biotechnology: Pharmaceutical Preparations
MNPR,Monopar Therapeutics Inc. Common Stock,$57.92,1.84,3.281%,387,United States,2019.0,238677,Health Care,Biotechnology: Pharmaceutical Preparations
PBYI,Puma Biotechnology Inc Common Stock,$7.57,0.0,0.00%,385,United States,,297793,Health Care,Biotechnology: Pharmaceutical Preparations
XFOR,X4 Pharmaceuticals Inc. Common Stock,$4.20,0.07,1.695%,381,United States,2017.0,227154,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVTX,Avalo Therapeutics Inc. Common Stock,$13.90,0.56,4.198%,371,United States,2015.0,544396,Health Care,Biotechnology: Pharmaceutical Preparations
NMRA,Neumora Therapeutics Inc. Common Stock,$2.03,-0.03,-1.456%,369,United States,2023.0,2097509,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ZNTL,Zentalis Pharmaceuticals Inc. Common Stock,$5.20,-0.36,-6.475%,368,United States,2020.0,2359337,Health Care,Biotechnology: Pharmaceutical Preparations
SRZN,Surrozen Inc. Common Stock,$31.85,1.99,6.664%,365,United States,,287312,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CABA,Cabaletta Bio Inc. Common Stock,$3.26,0.06,1.875%,362,United States,2019.0,1440839,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GLSI,Greenwich LifeSciences Inc. Common Stock,$26.02,-1.47,-5.347%,360,United States,2020.0,125244,Health Care,Biotechnology: Pharmaceutical Preparations
SOPH,SOPHiA GENETICS SA Ordinary Shares,$4.96,0.11,2.268%,355,Switzerland,2021.0,148775,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DMAC,DiaMedica Therapeutics Inc. Common Stock,$6.54,0.24,3.81%,351,United States,2018.0,142381,Health Care,Biotechnology: Pharmaceutical Preparations
IMRX,Immuneering Corporation Class A Common Stock,$5.41,-0.29,-5.088%,349,United States,2021.0,995649,Health Care,Biotechnology: Pharmaceutical Preparations
PALI,Palisade Bio Inc. Common Stock,$2.06,0.07,3.518%,341,United States,,4089042,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RZLT,Rezolute Inc. Common Stock (NV),$3.55,-0.06,-1.662%,339,United States,,874023,Health Care,Biotechnology: Pharmaceutical Preparations
EDIT,Editas Medicine Inc. Common Stock,$3.39,0.19,5.938%,331,United States,2016.0,2318001,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SIGA,SIGA Technologies Inc. Common Stock,$4.58,0.12,2.691%,328,United States,,410176,Health Care,Biotechnology: Pharmaceutical Preparations
ACIU,AC Immune SA Common Stock,$3.19,-0.11,-3.333%,324,Switzerland,2016.0,176684,Health Care,Biotechnology: Pharmaceutical Preparations
NGNE,Neurogene Inc. Common Stock ,$20.76,1.48,7.676%,323,Canada,2014.0,107839,Health Care,Biotechnology: Pharmaceutical Preparations
ORGO,Organogenesis Holdings Inc. Class A Common Stock,$2.51,0.13,5.462%,322,United States,2016.0,1220000,Health Care,Biotechnology: Pharmaceutical Preparations
XOMAP,XOMA Royalty Corporation 8.625% Series A Cumulative Perpetual Preferred Stock,$26.03,-0.37,-1.402%,310,United States,,573,Health Care,Biotechnology: Pharmaceutical Preparations
LENZ,LENZ Therapeutics Inc. Common Stock,$9.90,0.27,2.804%,310,United States,2021.0,790424,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
XOMAO,XOMA Royalty Corporation Depositary Shares Rep Series B 8.375% Cumulative Preferred Stock,$25.85,0.38,1.492%,308,United States,,644,Health Care,Biotechnology: Pharmaceutical Preparations
PLYX,Polaryx Therapeutics Inc. Common Stock,$6.47,0.3,4.862%,306,United States,,141719,Health Care,Biotechnology: Pharmaceutical Preparations
AMRN,Amarin Corporation plc,$14.55,0.04,0.276%,305,Ireland,,28177,Health Care,Biotechnology: Pharmaceutical Preparations
CLLS,Cellectis S.A. American Depositary Shares,$4.16,-0.12,-2.804%,301,France,2015.0,29989,Health Care,Biotechnology: Pharmaceutical Preparations
ABEO,Abeona Therapeutics Inc. Common Stock,$5.19,0.13,2.569%,296,United States,,1146450,Health Care,Biotechnology: Pharmaceutical Preparations
NBP,NovaBridge Biosciences American Depositary Shares,$2.54,0.14,5.833%,293,China,2020.0,1043346,Health Care,Biotechnology: Pharmaceutical Preparations
AVXL,Anavex Life Sciences Corp. Common Stock,$3.12,0.01,0.322%,289,United States,,1789099,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EOLS,Evolus Inc. Common Stock,$4.44,0.11,2.54%,288,United States,2018.0,724397,Health Care,Biotechnology: Pharmaceutical Preparations
SLN,Silence Therapeutics Plc American Depository Share,$6.12,0.115,1.915%,286,United Kingdom,,643624,Health Care,Biotechnology: Pharmaceutical Preparations
FHTX,Foghorn Therapeutics Inc. Common Stock,$4.85,0.16,3.412%,284,United States,2020.0,99478,Health Care,Biotechnology: Pharmaceutical Preparations
CADL,Candel Therapeutics Inc. Common Stock,$5.10,0.23,4.723%,279,United States,2021.0,1203434,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PRLD,Prelude Therapeutics Incorporated Common Stock,$4.40,0.03,0.686%,277,United States,2020.0,204672,Health Care,Biotechnology: Pharmaceutical Preparations
CHRS,Coherus Oncology Inc. Common Stock,$1.80,0.09,5.263%,277,United States,2014.0,1031146,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TARA,Protara Therapeutics Inc.  Common Stock,$5.13,0.06,1.183%,277,United States,2014.0,660104,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EVO,Evotec SE American Depositary Shares,$3.12,0.34,12.23%,276,Germany,2021.0,110430,Health Care,Biotechnology: Pharmaceutical Preparations
HELP,Cybin Inc. Common Stock,$5.46,0.03,0.552%,273,Canada,,796104,Health Care,Biotechnology: Pharmaceutical Preparations
CGEN,Compugen Ltd. Ordinary Shares,$2.88,0.12,4.348%,272,Israel,2000.0,878190,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CCCC,C4 Therapeutics Inc. Common Stock,$2.76,0.0,0.00%,269,United States,2020.0,3932049,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALEC,Alector Inc. Common Stock,$2.41,0.08,3.433%,265,United States,2019.0,394006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NERV,Minerva Neurosciences Inc Common Stock,$5.87,0.17,2.982%,257,United States,2014.0,137836,Health Care,Biotechnology: Pharmaceutical Preparations
TENX,Tenax Therapeutics Inc. Common Stock,$14.78,0.28,1.931%,254,United States,,634067,Health Care,Biotechnology: Pharmaceutical Preparations
BCYC,Bicycle Therapeutics plc American Depositary Shares,$5.06,0.08,1.606%,254,United Kingdom,2019.0,600403,Health Care,Biotechnology: Pharmaceutical Preparations
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock,$8.68,0.22,2.60%,246,Israel,2013.0,339658,Health Care,Biotechnology: Pharmaceutical Preparations
